   4146 MG+F3X4+G4
   3516 SCHN05+FU
   2214 MG+F3X4
   1755 MG+F3X4+I
   1743 SCHN05+FU+I
   1315 MG+F1X4
   1237 MG+F1X4+G4
   1237 SCHN05+FU+G4
    609 MG+F1X4+I
    420 GY+F+G4
    401 MG+F3X4+R2
    395 KOSI07+FU
    380 SCHN05+F3X4
    148 KOSI07+FU+I
    142 SCHN05+F3X4+I
    128 SCHN05+FU+R2
    122 GY+F
     99 GY+F+I
     99 KOSI07+F3X4
     94 MG+F1X4+R2
     77 SCHN05+F3X4+G4
     74 GY+F+R2
     66 SCHN05+F1X4
     65 KOSI07+FU+G4
     57 GY+F1X4+G4
     57 MG+F3X4+I+I+R2
     53 KOSI07+F3X4+I
     37 GY+F3X4+G4
     29 GY+F3X4
     25 GY+F1X4
     25 GY+F+I+I+R2
     25 SCHN05+F+G4
     20 GY+F3X4+I
     20 KOSI07+F3X4+G4
     20 SCHN05+F
     18 KOSI07+F1X4
     15 SCHN05+F+I
     14 KOSI07+F
     14 MG+F1X4+I+I+R2
     12 SCHN05+F1X4+I
     12 SCHN05+F3X4+R2
     11 SCHN05+F+R2
     10 GY+F1X4+I
     10 GY+F+I+G4
     10 SCHN05+FU+I+I+R2
      9 GY+F+R3
      7 GY+F1X4+R2
      6 KOSI07+FU+R2
      6 MG+F3X4+I+I+R3
      5 KOSI07+F1X4+I
      5 KOSI07+F3X4+R2
      4 MG+F3X4+I+G4
      4 SCHN05+FU+R3
      3 GY+F3X4+R2
      3 GY+F+I+I+R3
      2 KOSI07+F+R2
      2 MG+F1X4+R3
      2 SCHN05+F+I+G4
      1 KOSI07+F1X4+G4
      1 KOSI07+F+G4
      1 KOSI07+F+I
      1 KOSI07+F+I+G4
      1 KOSI07+FU+I+I+R2
      1 MG+F1X4+I+I+R3
      1 MG+F3X4+R3
      1 SCHN05+F+I+I+R2
      1 SCHN05+F+R3
      1 SCHN05+FU+I+I+R3
