ENSG00000000003.1	gene_1
ENSG00000000005.1	gene_2
ENSG00000000419.1	gene_3
ENSG00000000419.2	gene_4
ENSG00000000457.1	gene_5
ENSG00000000460.1	gene_6
ENSG00000000938.1	gene_7
ENSG00000000971.1	gene_8
ENSG00000000971.2	gene_9
ENSG00000000971.3	gene_10
ENSG00000001036.1	gene_11
ENSG00000001084.1	gene_12
ENSG00000001167.1	gene_13
ENSG00000001460.1	gene_14
ENSG00000001461.1	gene_15
ENSG00000001497.1	gene_16
ENSG00000001561.1	gene_17
ENSG00000001617.1	gene_18
ENSG00000001617.2	gene_19
ENSG00000001626.1	gene_20
ENSG00000001629.1	gene_21
ENSG00000001630.1	gene_22
ENSG00000001631.1	gene_23
ENSG00000002016.1	gene_24
ENSG00000002330.1	gene_25
ENSG00000002549.1	gene_26
ENSG00000002586.1	gene_27
ENSG00000002586.2	gene_28
ENSG00000002587.1	gene_29
ENSG00000002726.1	gene_30
ENSG00000002726.2	gene_31
ENSG00000002726.3	gene_32
ENSG00000002726.4	gene_33
ENSG00000002745.1	gene_34
ENSG00000002746.1	gene_35
ENSG00000002822.1	gene_36
ENSG00000002834.1	gene_37
ENSG00000002919.1	gene_38
ENSG00000002933.1	gene_39
ENSG00000003056.1	gene_40
ENSG00000003096.1	gene_41
ENSG00000003137.1	gene_42
ENSG00000003147.1	gene_43
ENSG00000003249.1	gene_44
ENSG00000003393.1	gene_45
ENSG00000003400.1	gene_46
ENSG00000003402.1	gene_47
ENSG00000003436.1	gene_48
ENSG00000003436.2	gene_49
ENSG00000003436.3	gene_50
ENSG00000003509.1	gene_51
ENSG00000003756.1	gene_52
ENSG00000003987.1	gene_53
ENSG00000003989.1	gene_54
ENSG00000004059.1	gene_55
ENSG00000004139.1	gene_56
ENSG00000004142.1	gene_57
ENSG00000004399.1	gene_58
ENSG00000004455.1	gene_59
ENSG00000004468.1	gene_60
ENSG00000004478.1	gene_61
ENSG00000004487.1	gene_62
ENSG00000004534.1	gene_63
ENSG00000004660.1	gene_64
ENSG00000004700.1	gene_65
ENSG00000004766.1	gene_66
ENSG00000004776.1	gene_67
ENSG00000004777.1	gene_68
ENSG00000004779.1	gene_69
ENSG00000004799.1	gene_70
ENSG00000004809.1	gene_71
ENSG00000004838.1	gene_72
ENSG00000004846.1	gene_73
ENSG00000004848.1	gene_74
ENSG00000004848.2	gene_75
ENSG00000004864.1	gene_76
ENSG00000004866.1	gene_77
ENSG00000004897.1	gene_78
ENSG00000004939.1	gene_79
ENSG00000004948.1	gene_80
ENSG00000004961.1	gene_81
ENSG00000004975.1	gene_82
ENSG00000005001.1	gene_83
ENSG00000005001.2	gene_84
ENSG00000005007.1	gene_85
ENSG00000005020.1	gene_86
ENSG00000005022.1	gene_87
ENSG00000005022.2	gene_88
ENSG00000005022.3	gene_89
ENSG00000005059.1	gene_90
ENSG00000005073.1	gene_91
ENSG00000005075.1	gene_92
ENSG00000005075.2	gene_93
