velifer_IDmodified-gene-14 ENSG00000185385.35
velifer_IDmodified-gene-19 ENSG00000236424.25
velifer_IDmodified-gene-23 ENSG00000169575.24
velifer_IDmodified-gene-24 ENSG00000169575.25
velifer_IDmodified-gene-25 ENSG00000169575.26
velifer_IDmodified-gene-29 ENSG00000169575.27
velifer_IDmodified-gene-30 ENSG00000162244.1
velifer_IDmodified-gene-42 ENSG00000169575.28
velifer_IDmodified-gene-48 ENSG00000169575.29
velifer_IDmodified-gene-55 ENSG00000169575.30
velifer_IDmodified-gene-56 ENSG00000179695.20
velifer_IDmodified-gene-58 ENSG00000169575.31
velifer_IDmodified-gene-61 ENSG00000188056.4
velifer_IDmodified-gene-9 ENSG00000169575.32
velifer_evm.TU.SUPER__1.10 ENSG00000169020.1
velifer_evm.TU.SUPER__1.100 ENSG00000170871.1
velifer_evm.TU.SUPER__1.1000 ENSG00000180592.1
velifer_evm.TU.SUPER__1.1001 ENSG00000063601.1
velifer_evm.TU.SUPER__1.1002 ENSG00000242616.1
velifer_evm.TU.SUPER__1.1003 ENSG00000144713.2
velifer_evm.TU.SUPER__1.1006 ENSG00000120594.1
velifer_evm.TU.SUPER__1.1007 ENSG00000204740.1
velifer_evm.TU.SUPER__1.1008 ENSG00000186280.1
velifer_evm.TU.SUPER__1.1009 ENSG00000204356.2
velifer_evm.TU.SUPER__1.1010 ENSG00000165997.1
velifer_evm.TU.SUPER__1.1011 ENSG00000241058.1
velifer_evm.TU.SUPER__1.1012 ENSG00000165995.1
velifer_evm.TU.SUPER__1.1013 ENSG00000148482.1
velifer_evm.TU.SUPER__1.1014 ENSG00000260314.1
velifer_evm.TU.SUPER__1.1015 ENSG00000148483.1
velifer_evm.TU.SUPER__1.1016 ENSG00000136738.1
velifer_evm.TU.SUPER__1.1017 ENSG00000165996.1
velifer_evm.TU.SUPER__1.1018 ENSG00000148488.1
velifer_evm.TU.SUPER__1.102 ENSG00000186222.1
velifer_evm.TU.SUPER__1.1020 ENSG00000026025.1
velifer_evm.TU.SUPER__1.1022 ENSG00000107614.1
velifer_evm.TU.SUPER__1.1023 ENSG00000107611.1
velifer_evm.TU.SUPER__1.1024 ENSG00000148484.1
velifer_evm.TU.SUPER__1.1025 ENSG00000165985.1
velifer_evm.TU.SUPER__1.1026 ENSG00000165983.1
velifer_evm.TU.SUPER__1.1030 ENSG00000179091.1
velifer_evm.TU.SUPER__1.1033 ENSG00000107890.24
velifer_evm.TU.SUPER__1.1034 ENSG00000107890.25
velifer_evm.TU.SUPER__1.1036 ENSG00000221843.1
velifer_evm.TU.SUPER__1.1037 ENSG00000163249.5
velifer_evm.TU.SUPER__1.1038 ENSG00000163249.6
velifer_evm.TU.SUPER__1.1039 ENSG00000163249.7
velifer_evm.TU.SUPER__1.1040 ENSG00000163249.8
velifer_evm.TU.SUPER__1.1042 ENSG00000163249.9
velifer_evm.TU.SUPER__1.1043 ENSG00000107890.26
velifer_evm.TU.SUPER__1.1045 ENSG00000163249.10
velifer_evm.TU.SUPER__1.1047 ENSG00000163249.11
velifer_evm.TU.SUPER__1.1048 ENSG00000163249.12
velifer_evm.TU.SUPER__1.1050 ENSG00000163249.13
velifer_evm.TU.SUPER__1.1051 ENSG00000163249.14
velifer_evm.TU.SUPER__1.1052 ENSG00000163249.15
velifer_evm.TU.SUPER__1.1053 ENSG00000170160.1
velifer_evm.TU.SUPER__1.1054 ENSG00000163046.1
velifer_evm.TU.SUPER__1.1055 ENSG00000151474.1
velifer_evm.TU.SUPER__1.1058 ENSG00000065809.1
velifer_evm.TU.SUPER__1.1059 ENSG00000185267.1
