label	lnSize.median	lnLife.median	lnSize.low	lnLife.low	lnSize.high	lnLife.high	lnK1	lnK2	log2CancerSucceptabilityChange	label_clean
Cyclopes_didactylus	5.5835	0.832909	5.5835	0.832909	5.5835	0.832909	10.580954	23.2704	18.3070008158283	NA
Tarsipes_rostratus	2.26799	0.693147	2.26799	0.693147	2.26799	0.693147	6.426872	18.12793	16.8810583497541	NA
Elephantulus_myurus	4.08614	0.0953102	4.08614	0.0953102	4.08614	0.0953102	4.6580012	15.68565	15.9095342364251	NA
Peromyscus_gossypinus	3.32071	0.255933	3.32071	0.255933	3.32071	0.255933	4.856308	15.28627	15.0472544540603	NA
Salanoia_concolor	6.56736	1.56862	6.56736	1.56862	6.56736	1.56862	15.97908	25.69015	14.0101125307256	NA
2127	4.38968	0.867851	2.99622	0.219185	5.9686	1.62609	9.596786	18.91678	13.4459091249149	NA
Notoryctes_typhlops	4.00733	0.405465	4.00733	0.405465	4.00733	0.405465	6.44012	15.73988	13.4167176334575	NA
Poiana_richardsonii	6.34578	1.67398	6.34578	1.67398	6.34578	1.67398	16.38966	25.64613	13.3542633651375	NA
Myotis_auriculus	3.63864	1.15268	3.63864	1.15268	3.63864	1.15268	10.55472	19.5281	12.9458508260122	Myotis auriculus
Monodelphis_dimidiata	3.79684	0	3.79684	0	3.79684	0	3.79684	12.35873	12.3521962436368	NA
Kogia_breviceps	12.975	2.83321	12.975	2.83321	12.975	2.83321	29.97426	38.50404	12.3058713058739	NA
1171	3.09485	1.11435	1.47373	0.362514	4.66802	1.88027	9.78095	18.10918	12.0150961203827	NA
Peromyscus_boylii	3.17388	0.405465	3.17388	0.405465	3.17388	0.405465	5.60667	13.84856	11.8905338305523	NA
Ptilocercus_lowii	3.7495	0.993252	3.7495	0.993252	3.7495	0.993252	9.709012	17.8989	11.815510803036	NA
Neotoma_micropus	5.54181	0.81093	5.54181	0.81093	5.54181	0.81093	10.40739	18.48851	11.6585917488286	NA
Cephalophus_adersi	9.13237	1.4061	9.13237	1.4061	9.13237	1.4061	17.56897	25.59513	11.5793012293814	NA
Cephalophus_spadix	10.9483	1.6901	10.9483	1.6901	10.9483	1.6901	21.0889	29.0765	11.5236709086047	NA
Peromyscus_attwateri	3.32863	0.405465	3.32863	0.405465	3.32863	0.405465	5.76142	13.71584	11.475802287148	NA
Planigale_ingrami	1.83578	0.262364	1.83578	0.262364	1.83578	0.262364	3.409964	11.28621	11.3630210450215	NA
Phalanger_orientalis	7.82405	1.38629	7.82405	1.38629	7.82405	1.38629	16.14179	23.9622	11.2824667247185	NA
Abrocoma_bennettii	5.58161	0.832909	5.58161	0.832909	5.58161	0.832909	10.579064	18.27329	11.1004216936789	NA
Kannabateomys_amblyonyx	6.39691	0.470004	6.39691	0.470004	6.39691	0.470004	9.216934	16.76306	10.8867585581233	NA
Distoechurus_pennatus	3.96537	0.693147	3.96537	0.693147	3.96537	0.693147	8.124252	15.51691	10.6653510355881	NA
Delanymys_brooksi	1.60744	0.693147	1.60744	0.693147	1.60744	0.693147	5.766322	13.1202	10.6094033219024	NA
Heliophobius_argenteocinereus	5.07517	1.1314	5.07517	1.1314	5.07517	1.1314	11.86357	19.16479	10.5334338864393	NA
2135	8.11092	2.58905	7.40702	2.23931	8.89813	2.95901	23.64522	30.76936	10.2779614485987	NA
Cynogale_bennettii	8.35387	1.60944	8.35387	1.60944	8.35387	1.60944	18.01051	25.05139	10.1578426594943	NA
2096	3.6235	0.188126	3.01766	-0.21946	4.22878	1.26923	4.752256	11.71441	10.0442650497053	NA
Liomys_adspersus	3.93163	0.559616	3.93163	0.559616	3.93163	0.559616	7.289326	14.05311	9.75807763444412	NA
