geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
R-HSA-2990846	SUMOylation	http://reactome.org/PathwayBrowser/#/R-HSA-2990846	0.8501750528814648	1.7862112706784714	0.004459308802163536	0.1353452109809841	7	./Project_1709264139_GSEA/R_HSA_2990846.png	2	6672;7181	NR2C1;SP100
R-HSA-3108232	SUMO E3 ligases SUMOylate target proteins	http://reactome.org/PathwayBrowser/#/R-HSA-3108232	0.8501750528814648	1.7862112706784714	0.004459308802163536	0.1353452109809841	7	./Project_1709264139_GSEA/R_HSA_3108232.png	2	6672;7181	NR2C1;SP100
R-HSA-6803157	Antimicrobial peptides	http://reactome.org/PathwayBrowser/#/R-HSA-6803157	0.8433047522954783	1.699351004752389	0.0059523809452947845	0.3590472724985737	6	./Project_1709264139_GSEA/R_HSA_6803157.png	4	1672;5320;3934;92747	BPIFB1;DEFB1;LCN2;PLA2G2A
R-HSA-166520	Signaling by NTRKs	http://reactome.org/PathwayBrowser/#/R-HSA-166520	-0.5795006570302234	-1.6332257893574962	0.03614457809551459	0.38203204909648825	6	./Project_1709264139_GSEA/R_HSA_166520.png	6	161;5519;5900;135;5045;7074	ADORA2A;AP2A2;FURIN;PPP2R1B;RALGDS;TIAM1
R-HSA-373760	L1CAM interactions	http://reactome.org/PathwayBrowser/#/R-HSA-373760	-0.5697368421052631	-1.7234958972765757	0.007462686511472489	0.4694851687691784	7	./Project_1709264139_GSEA/R_HSA_373760.png	7	3785;161;6336;6900;4684;6328;6329	AP2A2;CNTN2;KCNQ2;NCAM1;SCN10A;SCN3A;SCN4A
R-HSA-425366	Transport of bile salts and organic acids, metal ions and amine compounds	http://reactome.org/PathwayBrowser/#/R-HSA-425366	-0.5361366622864652	-1.4619241416306146	0.07947019814920399	0.6147289464711899	6	./Project_1709264139_GSEA/R_HSA_425366.png	6	146802;861;9058;64849;6005;6533	RHAG;RUNX1;SLC13A2;SLC13A3;SLC47A2;SLC6A6
R-HSA-1280215	Cytokine Signaling in Immune system	http://reactome.org/PathwayBrowser/#/R-HSA-1280215	0.5346757430487915	1.437092047483281	0.028056112196336563	0.7470413375252933	49	./Project_1709264139_GSEA/R_HSA_1280215.png	21	6672;4055;5599;3556;3934;6363;10346;3929;9173;3454;3434;4582;2208;85480;5608;3127;6041;920;133396;128178;9180	CCL19;CD4;EDARADD;FCER2;HLA-DRB5;IFIT1;IFNAR1;IL1RAP;IL1RL1;IL31RA;LBP;LCN2;LTBR;MAP2K6;MAPK8;MUC1;OSMR;RNASEL;SP100;TRIM22;TSLP
R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	http://reactome.org/PathwayBrowser/#/R-HSA-2173782	0.7060760244854061	1.4191291326089268	0.09999999988095239	0.7698597952408548	6	./Project_1709264139_GSEA/R_HSA_2173782.png	2	2495;10808	FTH1;HSPH1
R-HSA-913531	Interferon Signaling	http://reactome.org/PathwayBrowser/#/R-HSA-913531	0.6135853892681421	1.444405311657595	0.07987551858934075	0.7704265855840632	14	./Project_1709264139_GSEA/R_HSA_913531.png	6	6672;10346;3454;3434;3127;6041	HLA-DRB5;IFIT1;IFNAR1;RNASEL;SP100;TRIM22
R-HSA-397014	Muscle contraction	http://reactome.org/PathwayBrowser/#/R-HSA-397014	0.681288189977891	1.4525434327604958	0.08183856493067425	0.8003632026522554	8	./Project_1709264139_GSEA/R_HSA_397014.png	1	27091	CACNG5
R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	http://reactome.org/PathwayBrowser/#/R-HSA-166058	0.4509579918052941	0.9476448452465009	0.5393654517751287	0.8197557839480759	7	./Project_1709264139_GSEA/R_HSA_166058.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	http://reactome.org/PathwayBrowser/#/R-HSA-168188	0.4509579918052941	0.9476448452465009	0.5393654517751287	0.8197557839480759	7	./Project_1709264139_GSEA/R_HSA_168188.png	2	5599;5608	MAP2K6;MAPK8
R-HSA-162582	Signal Transduction	http://reactome.org/PathwayBrowser/#/R-HSA-162582	0.3380631848001323	0.949701074229716	0.61999999938000006	0.8326362859657559	117	./Project_1709264139_GSEA/R_HSA_162582.png	49	81327;256933;6376;5599;3556;390190;6363;2358;54908;2867;26211;8387;9173;134864;2208;355;3815;6387;4686;5368;5729;2444;10092;23288;11127;59350;1604;5321;283365;976;1447;84870;133;9099;338;6778;256076;338442;219960;1278;9626;5897;3633;9187;5196;5947;441670;338674;256144	ADGRE5;ADM;APOB;ARPC5;CCL19;CD55;COL1A2;COL6A5;CSN2;CX3CL1;CXCL12;FAS;FCER2;FFAR2;FPR2;FRK;GUCA1C;HCAR2;IL1RAP;IL1RL1;INPP5B;IQCE;KIF3A;KIT;MAPK8;NCBP1;NPB;OR10Q1;OR1E1;OR2F1;OR4A16;OR4C3;OR4M1;OR5B2;OR5F1;OR6C6;PF4;PLA2G4A;PNOC;PTGDR;RAG2;RBP1;RSPO3;RXFP1;SLC24A1;SPDL1;STAT6;TAAR1;USP2
R-HSA-1266738	Developmental Biology	http://reactome.org/PathwayBrowser/#/R-HSA-1266738	0.3493875554534178	0.936383590908101	0.6076076069993918	0.8335642806901439	44	./Project_1709264139_GSEA/R_HSA_1266738.png	12	25818;5599;643394;55816;1828;3880;5608;6387;4686;10092;3852;5788	ARPC5;CXCL12;DOK5;DSG1;KLK5;KRT19;KRT5;MAP2K6;MAPK8;NCBP1;PTPRC;SPINK9
R-HSA-418360	Platelet calcium homeostasis	http://reactome.org/PathwayBrowser/#/R-HSA-418360	0.4956452586666296	0.9577790526201624	0.5477386927792227	0.834750705228389	5	./Project_1709264139_GSEA/R_HSA_418360.png	2	5023;9127	P2RX1;P2RX6
R-HSA-199991	Membrane Trafficking	http://reactome.org/PathwayBrowser/#/R-HSA-199991	0.5039734670121752	1.2736071439417675	0.17842741917497237	0.8397507422755247	20	./Project_1709264139_GSEA/R_HSA_199991.png	11	2495;5265;920;10092;11127;1604;5321;84342;338;2157;2700	APOB;ARPC5;CD4;CD55;COG8;F8;FTH1;GJA3;KIF3A;PLA2G4A;SERPINA1
R-HSA-2132295	MHC class II antigen presentation	http://reactome.org/PathwayBrowser/#/R-HSA-2132295	0.48526296770145055	0.9502069333186077	0.5285540698316475	0.8411592985419485	5	./Project_1709264139_GSEA/R_HSA_2132295.png	4	3127;11127;3119;83547	HLA-DQB1;HLA-DRB5;KIF3A;RILP
R-HSA-5173105	O-linked glycosylation	http://reactome.org/PathwayBrowser/#/R-HSA-5173105	0.4938092368425343	0.958726398630898	0.5155502386177628	0.8421609883963828	5	./Project_1709264139_GSEA/R_HSA_5173105.png	3	4582;10164;146712	B3GNTL1;CHST4;MUC1
R-HSA-446728	Cell junction organization	http://reactome.org/PathwayBrowser/#/R-HSA-446728	0.45706893664392056	0.9262919911383659	0.5705812567371515	0.8448341240967813	6	./Project_1709264139_GSEA/R_HSA_446728.png	2	5818;3852	KRT5;NECTIN1
