userId	geneSymbol	geneName	entrezgene	gLink
COPG2	COPG2	coatomer protein complex subunit gamma 2	26958	https://www.ncbi.nlm.nih.gov/gene/?term=26958
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
F11R	F11R	F11 receptor	50848	https://www.ncbi.nlm.nih.gov/gene/?term=50848
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
IFNGR2	IFNGR2	interferon gamma receptor 2	3460	https://www.ncbi.nlm.nih.gov/gene/?term=3460
GART	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	2618	https://www.ncbi.nlm.nih.gov/gene/?term=2618
IDH3G	IDH3G	isocitrate dehydrogenase 3 (NAD(+)) gamma	3421	https://www.ncbi.nlm.nih.gov/gene/?term=3421
CBR3	CBR3	carbonyl reductase 3	874	https://www.ncbi.nlm.nih.gov/gene/?term=874
ATP13A2	ATP13A2	ATPase cation transporting 13A2	23400	https://www.ncbi.nlm.nih.gov/gene/?term=23400
ROCK1	ROCK1	Rho associated coiled-coil containing protein kinase 1	6093	https://www.ncbi.nlm.nih.gov/gene/?term=6093
THEM4	THEM4	thioesterase superfamily member 4	117145	https://www.ncbi.nlm.nih.gov/gene/?term=117145
ADGRG5	ADGRG5	adhesion G protein-coupled receptor G5	221188	https://www.ncbi.nlm.nih.gov/gene/?term=221188
TEPP	TEPP	testis, prostate and placenta expressed	374739	https://www.ncbi.nlm.nih.gov/gene/?term=374739
NPR2	NPR2	natriuretic peptide receptor 2	4882	https://www.ncbi.nlm.nih.gov/gene/?term=4882
CBS	CBS	cystathionine-beta-synthase	875	https://www.ncbi.nlm.nih.gov/gene/?term=875
RRP1B	RRP1B	ribosomal RNA processing 1B	23076	https://www.ncbi.nlm.nih.gov/gene/?term=23076
CFAP157	CFAP157	cilia and flagella associated protein 157	286207	https://www.ncbi.nlm.nih.gov/gene/?term=286207
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
SIK3	SIK3	SIK family kinase 3	23387	https://www.ncbi.nlm.nih.gov/gene/?term=23387
PCSK7	PCSK7	proprotein convertase subtilisin/kexin type 7	9159	https://www.ncbi.nlm.nih.gov/gene/?term=9159
SAFB	SAFB	scaffold attachment factor B	6294	https://www.ncbi.nlm.nih.gov/gene/?term=6294
CCR5	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	1234	https://www.ncbi.nlm.nih.gov/gene/?term=1234
NBEAL2	NBEAL2	neurobeachin like 2	23218	https://www.ncbi.nlm.nih.gov/gene/?term=23218
AZGP1	AZGP1	alpha-2-glycoprotein 1, zinc-binding	563	https://www.ncbi.nlm.nih.gov/gene/?term=563
RECQL4	RECQL4	RecQ like helicase 4	9401	https://www.ncbi.nlm.nih.gov/gene/?term=9401
PPP1R16A	PPP1R16A	protein phosphatase 1 regulatory subunit 16A	84988	https://www.ncbi.nlm.nih.gov/gene/?term=84988
CCDC116	CCDC116	coiled-coil domain containing 116	164592	https://www.ncbi.nlm.nih.gov/gene/?term=164592
NPHS1	NPHS1	NPHS1, nephrin	4868	https://www.ncbi.nlm.nih.gov/gene/?term=4868
SRBD1	SRBD1	S1 RNA binding domain 1	55133	https://www.ncbi.nlm.nih.gov/gene/?term=55133
ALOX15	ALOX15	arachidonate 15-lipoxygenase	246	https://www.ncbi.nlm.nih.gov/gene/?term=246
ZG16B	ZG16B	zymogen granule protein 16B	124220	https://www.ncbi.nlm.nih.gov/gene/?term=124220
SHANK2	SHANK2	SH3 and multiple ankyrin repeat domains 2	22941	https://www.ncbi.nlm.nih.gov/gene/?term=22941
ERLEC1	ERLEC1	endoplasmic reticulum lectin 1	27248	https://www.ncbi.nlm.nih.gov/gene/?term=27248
SYVN1	SYVN1	synoviolin 1	84447	https://www.ncbi.nlm.nih.gov/gene/?term=84447
LRP5	LRP5	LDL receptor related protein 5	4041	https://www.ncbi.nlm.nih.gov/gene/?term=4041
FGF19	FGF19	fibroblast growth factor 19	9965	https://www.ncbi.nlm.nih.gov/gene/?term=9965
COA7	COA7	cytochrome c oxidase assembly factor 7 (putative)	65260	https://www.ncbi.nlm.nih.gov/gene/?term=65260
NOL9	NOL9	nucleolar protein 9	79707	https://www.ncbi.nlm.nih.gov/gene/?term=79707
JAK1	JAK1	Janus kinase 1	3716	https://www.ncbi.nlm.nih.gov/gene/?term=3716
MAST4	MAST4	microtubule associated serine/threonine kinase family member 4	375449	https://www.ncbi.nlm.nih.gov/gene/?term=375449
IL23R	IL23R	interleukin 23 receptor	149233	https://www.ncbi.nlm.nih.gov/gene/?term=149233
ADGRF5	ADGRF5	adhesion G protein-coupled receptor F5	221395	https://www.ncbi.nlm.nih.gov/gene/?term=221395
C1orf87	C1orf87	chromosome 1 open reading frame 87	127795	https://www.ncbi.nlm.nih.gov/gene/?term=127795
NFIA	NFIA	nuclear factor I A	4774	https://www.ncbi.nlm.nih.gov/gene/?term=4774
OMA1	OMA1	OMA1 zinc metallopeptidase	115209	https://www.ncbi.nlm.nih.gov/gene/?term=115209
SNX7	SNX7	sorting nexin 7	51375	https://www.ncbi.nlm.nih.gov/gene/?term=51375
HFM1	HFM1	HFM1, ATP dependent DNA helicase homolog	164045	https://www.ncbi.nlm.nih.gov/gene/?term=164045
AGL	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	178	https://www.ncbi.nlm.nih.gov/gene/?term=178
